timestamp,faces_detected,emotions_detected
2025-05-18 19:29:47.122,1,Neutral
2025-05-18 19:29:47.218,1,Neutral
2025-05-18 19:29:47.280,1,Neutral
2025-05-18 19:29:47.353,1,Neutral
2025-05-18 19:29:47.412,1,Neutral
2025-05-18 19:29:47.478,1,Neutral
2025-05-18 19:29:47.535,1,Neutral
2025-05-18 19:29:47.604,1,Neutral
2025-05-18 19:29:47.665,1,Neutral
2025-05-18 19:29:47.729,1,Neutral
2025-05-18 19:29:47.797,1,Neutral
2025-05-18 19:29:47.857,1,Neutral
2025-05-18 19:29:47.914,1,Neutral
2025-05-18 19:29:47.971,1,Neutral
2025-05-18 19:29:48.031,1,Sad
2025-05-18 19:29:48.086,1,Happy
2025-05-18 19:29:48.178,1,Sad
2025-05-18 19:29:48.234,1,Sad
2025-05-18 19:29:48.292,1,Neutral
2025-05-18 19:29:48.369,1,Neutral
2025-05-18 19:29:48.426,1,Neutral
2025-05-18 19:29:48.483,1,Neutral
2025-05-18 19:29:48.539,1,Neutral
2025-05-18 19:29:48.593,1,Neutral
2025-05-18 19:29:48.648,1,Neutral
2025-05-18 19:29:48.705,1,Neutral
2025-05-18 19:29:48.759,1,Neutral
2025-05-18 19:29:48.835,1,Neutral
2025-05-18 19:29:48.889,1,Neutral
2025-05-18 19:29:48.942,1,Neutral
2025-05-18 19:29:48.998,1,Neutral
2025-05-18 19:29:49.055,1,Neutral
2025-05-18 19:29:49.110,1,Neutral
2025-05-18 19:29:49.168,1,Neutral
2025-05-18 19:29:49.223,1,Neutral
2025-05-18 19:29:49.281,1,Neutral
2025-05-18 19:29:49.336,1,Neutral
2025-05-18 19:29:49.394,1,Neutral
2025-05-18 19:29:49.448,1,Neutral
2025-05-18 19:29:49.502,1,Neutral
2025-05-18 19:29:49.568,1,Neutral
2025-05-18 19:29:49.620,1,Neutral
2025-05-18 19:29:49.734,1,Neutral
2025-05-18 19:29:49.791,1,Neutral
2025-05-18 19:29:49.852,1,Neutral
2025-05-18 19:29:49.907,1,Neutral
2025-05-18 19:29:49.960,1,Neutral
2025-05-18 19:29:50.015,1,Neutral
2025-05-18 19:29:50.072,1,Neutral
2025-05-18 19:29:50.130,1,Neutral
2025-05-18 19:29:50.193,1,Neutral
2025-05-18 19:29:50.247,1,Neutral
2025-05-18 19:29:50.303,1,Neutral
2025-05-18 19:29:50.361,1,Neutral
2025-05-18 19:29:50.413,1,Neutral
2025-05-18 19:29:50.499,1,Neutral
2025-05-18 19:29:50.558,1,Neutral
2025-05-18 19:29:50.610,1,Neutral
2025-05-18 19:29:50.694,1,Neutral
2025-05-18 19:29:50.750,1,Neutral
2025-05-18 19:29:50.806,1,Neutral
2025-05-18 19:29:50.863,1,Neutral
2025-05-18 19:29:50.921,1,Neutral
2025-05-18 19:29:50.974,1,Neutral
2025-05-18 19:29:51.029,1,Neutral
2025-05-18 19:29:51.088,1,Neutral
2025-05-18 19:29:51.154,1,Neutral
2025-05-18 19:29:51.213,1,Neutral
2025-05-18 19:29:51.266,1,Neutral
2025-05-18 19:29:51.345,1,Neutral
2025-05-18 19:29:51.402,1,Neutral
2025-05-18 19:29:51.456,1,Neutral
2025-05-18 19:29:51.513,1,Neutral
2025-05-18 19:29:51.567,1,Neutral
2025-05-18 19:29:51.623,1,Neutral
2025-05-18 19:29:51.677,1,Neutral
2025-05-18 19:29:51.732,1,Neutral
2025-05-18 19:29:51.806,1,Neutral
2025-05-18 19:29:51.863,1,Neutral
2025-05-18 19:29:51.917,1,Neutral
2025-05-18 19:29:51.973,1,Neutral
2025-05-18 19:29:52.026,1,Neutral
2025-05-18 19:29:52.083,1,Neutral
2025-05-18 19:29:52.136,1,Neutral
2025-05-18 19:29:52.190,1,Sad
2025-05-18 19:29:52.272,1,Neutral
2025-05-18 19:29:52.328,1,Neutral
2025-05-18 19:29:52.382,1,Neutral
2025-05-18 19:29:52.437,1,Neutral
2025-05-18 19:29:52.491,1,Sad
2025-05-18 19:29:52.548,1,Sad
2025-05-18 19:29:52.602,1,Sad
2025-05-18 19:29:52.662,1,Neutral
2025-05-18 19:29:52.742,1,Sad
2025-05-18 19:29:52.796,1,Sad
2025-05-18 19:29:52.849,1,Sad
2025-05-18 19:29:52.911,1,Sad
2025-05-18 19:29:52.967,1,Neutral
2025-05-18 19:29:53.027,1,Neutral
2025-05-18 19:29:53.084,1,Neutral
2025-05-18 19:29:53.138,1,Sad
2025-05-18 19:29:53.199,1,Neutral
2025-05-18 19:29:53.256,1,Neutral
2025-05-18 19:29:53.311,1,Sad
2025-05-18 19:29:53.366,1,Sad
2025-05-18 19:29:53.422,1,Neutral
2025-05-18 19:29:53.478,1,Sad
2025-05-18 19:29:53.535,1,Sad
2025-05-18 19:29:53.589,1,Sad
2025-05-18 19:29:53.645,1,Neutral
2025-05-18 19:29:53.697,1,Sad
2025-05-18 19:29:53.759,1,Neutral
2025-05-18 19:29:53.814,1,Neutral
2025-05-18 19:29:53.868,1,Neutral
2025-05-18 19:29:53.939,1,Neutral
2025-05-18 19:29:53.998,1,Neutral
2025-05-18 19:29:54.058,1,Neutral
2025-05-18 19:29:54.111,1,Neutral
2025-05-18 19:29:54.165,1,Neutral
2025-05-18 19:29:54.224,1,Neutral
2025-05-18 19:29:54.285,1,Neutral
2025-05-18 19:29:54.343,1,Neutral
2025-05-18 19:29:54.407,1,Neutral
2025-05-18 19:29:54.466,1,Neutral
2025-05-18 19:29:54.518,1,Neutral
2025-05-18 19:29:54.570,1,Neutral
2025-05-18 19:29:54.621,1,Neutral
2025-05-18 19:29:54.683,1,Neutral
2025-05-18 19:29:54.733,1,Neutral
2025-05-18 19:29:54.785,1,Sad
2025-05-18 19:29:54.864,1,Sad
2025-05-18 19:29:54.917,1,Sad
2025-05-18 19:29:54.969,1,Sad
2025-05-18 19:29:55.021,1,Sad
2025-05-18 19:29:55.073,1,Neutral
2025-05-18 19:29:55.148,1,Neutral
2025-05-18 19:29:55.201,1,Neutral
2025-05-18 19:29:55.255,1,Neutral
2025-05-18 19:29:55.329,1,Sad
2025-05-18 19:29:55.383,1,Sad
2025-05-18 19:29:55.434,1,Neutral
2025-05-18 19:29:55.489,1,Neutral
2025-05-18 19:29:55.540,1,Neutral
2025-05-18 19:29:55.613,1,Neutral
2025-05-18 19:29:55.666,1,Neutral
2025-05-18 19:29:55.719,1,Sad
2025-05-18 19:29:55.792,1,Neutral
2025-05-18 19:29:55.848,1,Neutral
2025-05-18 19:29:55.898,1,Neutral
2025-05-18 19:29:55.950,1,Sad
2025-05-18 19:29:56.004,1,Sad
2025-05-18 19:29:56.078,1,Sad
2025-05-18 19:29:56.138,1,Sad
2025-05-18 19:29:56.191,1,Sad
2025-05-18 19:29:56.275,1,Sad
2025-05-18 19:29:56.330,1,Sad
2025-05-18 19:29:56.385,1,Sad
2025-05-18 19:29:56.438,1,Sad
2025-05-18 19:29:56.492,1,Sad
2025-05-18 19:29:56.543,1,Neutral
2025-05-18 19:29:56.598,1,Neutral
2025-05-18 19:29:56.652,1,Neutral
2025-05-18 19:29:56.742,1,Neutral
2025-05-18 19:29:56.796,1,Neutral
2025-05-18 19:29:56.849,1,Neutral
2025-05-18 19:29:56.903,1,Happy
2025-05-18 19:29:56.957,1,Happy
2025-05-18 19:29:57.010,1,Happy
2025-05-18 19:29:57.066,1,Happy
2025-05-18 19:29:57.120,1,Happy
2025-05-18 19:29:57.205,1,Happy
2025-05-18 19:29:57.258,1,Happy
2025-05-18 19:29:57.314,1,Happy
2025-05-18 19:29:57.368,1,Happy
2025-05-18 19:29:57.421,1,Happy
2025-05-18 19:29:57.472,1,Happy
2025-05-18 19:29:57.525,1,Happy
2025-05-18 19:29:57.577,1,Happy
2025-05-18 19:29:57.636,1,Happy
2025-05-18 19:29:57.690,1,Happy
2025-05-18 19:29:57.762,1,Happy
2025-05-18 19:29:57.816,1,Happy
2025-05-18 19:29:57.872,1,Happy
2025-05-18 19:29:57.935,1,Happy
2025-05-18 19:29:57.994,1,Happy
2025-05-18 19:29:58.051,1,Happy
2025-05-18 19:29:58.114,1,Happy
2025-05-18 19:29:58.175,1,Surprise
2025-05-18 19:29:58.236,1,Surprise
2025-05-18 19:29:58.304,1,Surprise
2025-05-18 19:29:58.404,2,"Surprise, Sad"
2025-05-18 19:29:58.473,1,Surprise
2025-05-18 19:29:58.538,1,Happy
2025-05-18 19:29:58.609,1,Happy
2025-05-18 19:29:58.679,1,Happy
2025-05-18 19:29:58.750,1,Happy
2025-05-18 19:29:58.818,1,Happy
2025-05-18 19:29:58.888,1,Happy
2025-05-18 19:29:58.973,1,Happy
2025-05-18 19:29:59.039,1,Happy
2025-05-18 19:29:59.106,1,Happy
2025-05-18 19:29:59.176,1,Happy
2025-05-18 19:29:59.241,1,Happy
2025-05-18 19:29:59.313,1,Happy
2025-05-18 19:29:59.380,1,Surprise
2025-05-18 19:29:59.452,1,Surprise
2025-05-18 19:29:59.532,1,Surprise
2025-05-18 19:29:59.601,1,Surprise
2025-05-18 19:29:59.674,1,Surprise
2025-05-18 19:29:59.747,1,Surprise
2025-05-18 19:29:59.818,1,Surprise
2025-05-18 19:29:59.901,1,Surprise
2025-05-18 19:29:59.971,1,Surprise
2025-05-18 19:30:00.076,1,Surprise
2025-05-18 19:30:00.152,1,Surprise
2025-05-18 19:30:00.223,1,Surprise
2025-05-18 19:30:00.294,1,Surprise
2025-05-18 19:30:00.373,1,Surprise
2025-05-18 19:30:00.455,1,Neutral
2025-05-18 19:30:00.531,1,Neutral
2025-05-18 19:30:00.607,1,Neutral
2025-05-18 19:30:00.683,1,Neutral
2025-05-18 19:30:00.752,1,Neutral
2025-05-18 19:30:00.829,1,Neutral
2025-05-18 19:30:00.902,1,Neutral
2025-05-18 19:30:00.979,1,Neutral
2025-05-18 19:30:01.068,1,Neutral
2025-05-18 19:30:01.149,1,Neutral
2025-05-18 19:30:01.222,1,Neutral
2025-05-18 19:30:01.295,1,Neutral
2025-05-18 19:30:01.378,1,Neutral
2025-05-18 19:30:01.458,1,Neutral
2025-05-18 19:30:01.544,1,Neutral
2025-05-18 19:30:01.635,1,Neutral
2025-05-18 19:30:01.724,1,Neutral
2025-05-18 19:30:01.828,1,Neutral
2025-05-18 19:30:01.921,1,Neutral
2025-05-18 19:30:02.009,1,Neutral
2025-05-18 19:30:02.096,1,Neutral
2025-05-18 19:30:02.180,1,Neutral
2025-05-18 19:30:02.254,1,Neutral
2025-05-18 19:30:02.348,1,Neutral
2025-05-18 19:30:02.429,1,Neutral
2025-05-18 19:30:02.525,1,Neutral
